movie_title,Watch[1] or Not[0]
Pirates of the Caribbean: At World's EndåÊ,1
SpectreåÊ,1
The Dark Knight RisesåÊ,1
Star Wars: Episode VII - The Force AwakensåÊ            ,0
John CarteråÊ,0
Spider-Man 3åÊ,1
TangledåÊ,1
Avengers: Age of UltronåÊ,1
Harry Potter and the Half-Blood PrinceåÊ,1
Batman v Superman: Dawn of JusticeåÊ,1
Superman ReturnsåÊ,1
Quantum of SolaceåÊ,1
Pirates of the Caribbean: Dead Man's CheståÊ,1
The Lone RangeråÊ,0
Man of SteelåÊ,1
The Chronicles of Narnia: Prince CaspianåÊ,1
The AvengersåÊ,1
Pirates of the Caribbean: On Stranger TidesåÊ,1
Men in Black 3åÊ,1
The Hobbit: The Battle of the Five ArmiesåÊ,1
The Amazing Spider-ManåÊ,1
Robin HoodåÊ,0
The Hobbit: The Desolation of SmaugåÊ,1
The Golden CompassåÊ,0
King KongåÊ,1
TitanicåÊ,1
Captain America: Civil WaråÊ,1
BattleshipåÊ,0
Jurassic WorldåÊ,1
SkyfallåÊ,1
Spider-Man 2åÊ,1
Iron Man 3åÊ,1
Alice in WonderlandåÊ,1
X-Men: The Last StandåÊ,1
Monsters UniversityåÊ,1
Transformers: Revenge of the FallenåÊ,1
Transformers: Age of ExtinctionåÊ,1
Oz the Great and PowerfulåÊ,1
The Amazing Spider-Man 2åÊ,1
TRON: LegacyåÊ,1
Cars 2åÊ,1
Green LanternåÊ,1
Toy Story 3åÊ,1
Terminator SalvationåÊ,1
Furious 7åÊ,1
World War ZåÊ,1
X-Men: Days of Future PaståÊ,1
Star Trek Into DarknessåÊ,1
Jack the Giant SlayeråÊ,0
The Great GatsbyåÊ,1
Prince of Persia: The Sands of TimeåÊ,0
Pacific RimåÊ,0
Transformers: Dark of the MoonåÊ,1
Indiana Jones and the Kingdom of the Crystal SkullåÊ,1
The Good DinosauråÊ,1
BraveåÊ,1
Star Trek BeyondåÊ,1
WALLåáEåÊ,1
Rush Hour 3åÊ,1
2012åÊ,1
A Christmas CarolåÊ,1
Jupiter AscendingåÊ,0
The Legend of TarzanåÊ,1
"The Chronicles of Narnia: The Lion, the Witch and the WardrobeåÊ",1
X-Men: ApocalypseåÊ,1
The Dark KnightåÊ,1
UpåÊ,1
Monsters vs. AliensåÊ,1
Iron ManåÊ,1
HugoåÊ,0
Wild Wild WeståÊ,1
The Mummy: Tomb of the Dragon EmperoråÊ,0
Suicide SquadåÊ,1
Evan AlmightyåÊ,0
Edge of TomorrowåÊ,0
WaterworldåÊ,0
G.I. Joe: The Rise of CobraåÊ,1
Inside OutåÊ,1
The Jungle BookåÊ,1
Iron Man 2åÊ,1
Snow White and the HuntsmanåÊ,1
MaleficentåÊ,1
Dawn of the Planet of the ApesåÊ,1
The LoversåÊ,0
47 RoninåÊ,0
Captain America: The Winter SoldieråÊ,1
Shrek Forever AfteråÊ,1
TomorrowlandåÊ,0
Big Hero 6åÊ,1
Wreck-It RalphåÊ,1
The Polar ExpressåÊ,0
Independence Day: ResurgenceåÊ,0
How to Train Your DragonåÊ,1
Terminator 3: Rise of the MachinesåÊ,1
Guardians of the GalaxyåÊ,1
InterstellaråÊ,1
InceptionåÊ,1
Godzilla ResurgenceåÊ,0
The Hobbit: An Unexpected JourneyåÊ,1
The Fast and the FuriousåÊ,1
The Curious Case of Benjamin ButtonåÊ,1
X-Men: First ClassåÊ,1
The Hunger Games: Mockingjay - Part 2åÊ,1
The Sorcerer's ApprenticeåÊ,0
PoseidonåÊ,0
Alice Through the Looking GlassåÊ,0
Shrek the ThirdåÊ,1
WarcraftåÊ,0
Terminator GenisysåÊ,0
The Chronicles of Narnia: The Voyage of the Dawn TreaderåÊ,0
Pearl HarboråÊ,1
TransformersåÊ,1
AlexanderåÊ,0
Harry Potter and the Order of the PhoenixåÊ,1
Harry Potter and the Goblet of FireåÊ,1
HancockåÊ,1
I Am LegendåÊ,1
Charlie and the Chocolate FactoryåÊ,1
RatatouilleåÊ,1
Batman BeginsåÊ,1
Madagascar: Escape 2 AfricaåÊ,1
Night at the Museum: Battle of the SmithsonianåÊ,1
X-Men Origins: WolverineåÊ,1
The Matrix RevolutionsåÊ,1
FrozenåÊ,1
The Matrix ReloadedåÊ,1
Thor: The Dark WorldåÊ,1
Mad Max: Fury RoadåÊ,1
Angels & DemonsåÊ,1
ThoråÊ,1
BoltåÊ,1
G-ForceåÊ,1
Wrath of the TitansåÊ,0
Dark ShadowsåÊ,0
Mission: Impossible - Rogue NationåÊ,1
The WolfmanåÊ,0
The Legend of TarzanåÊ,1
Bee MovieåÊ,1
Kung Fu Panda 2åÊ,1
The Last AirbenderåÊ,1
Mission: Impossible IIIåÊ,1
White House DownåÊ,0
Mars Needs MomsåÊ,0
Flushed AwayåÊ,0
PanåÊ,0
Mr. Peabody & ShermanåÊ,1
TroyåÊ,1
Madagascar 3: Europe's Most WantedåÊ,1
Die Another DayåÊ,1
GhostbustersåÊ,1
ArmageddonåÊ,1
Men in Black IIåÊ,1
BeowulfåÊ,0
Kung Fu Panda 3åÊ,1
Mission: Impossible - Ghost ProtocolåÊ,1
Rise of the GuardiansåÊ,0
Fun with Dick and JaneåÊ,0
The Last SamuraiåÊ,1
Exodus: Gods and KingsåÊ,0
Star TrekåÊ,1
Spider-ManåÊ,1
How to Train Your Dragon 2åÊ,1
Gods of EgyptåÊ,0
StealthåÊ,0
WatchmenåÊ,0
Lethal Weapon 4åÊ,1
HulkåÊ,1
G.I. Joe: RetaliationåÊ,1
SaharaåÊ,0
Final Fantasy: The Spirits WithinåÊ,0
Captain America: The First AvengeråÊ,1
The World Is Not EnoughåÊ,1
Master and Commander: The Far Side of the WorldåÊ,0
The Twilight Saga: Breaking Dawn - Part 2åÊ,1
Happy Feet 2åÊ,0
The Incredible HulkåÊ,1
Miami ViceåÊ            ,0
The BFGåÊ,0
The RevenantåÊ,1
TurboåÊ,0
RangoåÊ,1
Penguins of MadagascaråÊ,0
The Bourne UltimatumåÊ,1
Kung Fu PandaåÊ,1
Ant-ManåÊ,1
The Hunger Games: Catching FireåÊ,1
The Twilight Saga: Breaking Dawn - Part 2åÊ,1
HomeåÊ,1
War of the WorldsåÊ,1
Bad Boys IIåÊ,1
Puss in BootsåÊ,1
SaltåÊ,1
NoahåÊ,0
The Adventures of TintinåÊ,0
Harry Potter and the Prisoner of AzkabanåÊ,1
AustraliaåÊ,0
After EarthåÊ,0
DinosauråÊ,1
Harry Potter and the Deathly Hallows: Part IIåÊ,0
Night at the Museum: Secret of the TombåÊ,1
MegamindåÊ,1
Harry Potter and the Sorcerer's StoneåÊ,1
R.I.P.D.åÊ,0
Godzilla ResurgenceåÊ,0
Pirates of the Caribbean: The Curse of the Black PearlåÊ,1
Harry Potter and the Deathly Hallows: Part IåÊ,0
The Hunger Games: Mockingjay - Part 1åÊ,1
The Da Vinci CodeåÊ,1
Rio 2åÊ,1
X-Men 2åÊ,1
Fast FiveåÊ,1
Sherlock Holmes: A Game of ShadowsåÊ,1
Clash of the TitansåÊ,1
Total RecallåÊ,1
The 13th WarrioråÊ,0
The Bourne LegacyåÊ,1
Batman & RobinåÊ,0
How the Grinch Stole ChristmasåÊ,1
The Day After TomorrowåÊ,1
Mission: Impossible IIåÊ,1
The Perfect StormåÊ,1
Fantastic 4: Rise of the Silver SurferåÊ,1
