movie_title,Watch[1] or Not[0]
Pirates of the Caribbean: At World's EndåÊ,100
SpectreåÊ,55
The Dark Knight RisesåÊ,19
Star Wars: Episode VII - The Force AwakensåÊ            ,25
John CarteråÊ,68
Spider-Man 3åÊ,99
TangledåÊ,55
Avengers: Age of UltronåÊ,70
Harry Potter and the Half-Blood PrinceåÊ,7
Batman v Superman: Dawn of JusticeåÊ,31
Superman ReturnsåÊ,55
Quantum of SolaceåÊ,67
Pirates of the Caribbean: Dead Man's CheståÊ,48
The Lone RangeråÊ,2
Man of SteelåÊ,26
The Chronicles of Narnia: Prince CaspianåÊ,65
The AvengersåÊ,8
Pirates of the Caribbean: On Stranger TidesåÊ,85
Men in Black 3åÊ,69
The Hobbit: The Battle of the Five ArmiesåÊ,98
The Amazing Spider-ManåÊ,35
Robin HoodåÊ,20
The Hobbit: The Desolation of SmaugåÊ,35
The Golden CompassåÊ,46
King KongåÊ,39
TitanicåÊ,36
Captain America: Civil WaråÊ,3
BattleshipåÊ,10
Jurassic WorldåÊ,36
SkyfallåÊ,7
Spider-Man 2åÊ,32
Iron Man 3åÊ,3
Alice in WonderlandåÊ,31
X-Men: The Last StandåÊ,82
Monsters UniversityåÊ,87
Transformers: Revenge of the FallenåÊ,95
Transformers: Age of ExtinctionåÊ,85
Oz the Great and PowerfulåÊ,82
The Amazing Spider-Man 2åÊ,24
TRON: LegacyåÊ,9
Cars 2åÊ,78
Green LanternåÊ,64
Toy Story 3åÊ,80
Terminator SalvationåÊ,94
Furious 7åÊ,15
World War ZåÊ,24
X-Men: Days of Future PaståÊ,82
Star Trek Into DarknessåÊ,1
Jack the Giant SlayeråÊ,10
The Great GatsbyåÊ,4
Prince of Persia: The Sands of TimeåÊ,79
Pacific RimåÊ,76
Transformers: Dark of the MoonåÊ,15
Indiana Jones and the Kingdom of the Crystal SkullåÊ,45
The Good DinosauråÊ,94
BraveåÊ,53
Star Trek BeyondåÊ,61
WALLåáEåÊ,1
