movie_title,Watch[1] or Not[0]
Pirates of the Caribbean: At World's EndåÊ,5
SpectreåÊ,2
The Dark Knight RisesåÊ,1
Star Wars: Episode VII - The Force AwakensåÊ            ,3
John CarteråÊ,8
Spider-Man 3åÊ,5
TangledåÊ,2
Avengers: Age of UltronåÊ,1
Harry Potter and the Half-Blood PrinceåÊ,5
Batman v Superman: Dawn of JusticeåÊ,5
Superman ReturnsåÊ,2
Quantum of SolaceåÊ,6
Pirates of the Caribbean: Dead Man's CheståÊ,1
The Lone RangeråÊ,8
Man of SteelåÊ,5
The Chronicles of Narnia: Prince CaspianåÊ,6
The AvengersåÊ,9
Pirates of the Caribbean: On Stranger TidesåÊ,2
Men in Black 3åÊ,6
The Hobbit: The Battle of the Five ArmiesåÊ,2
The Amazing Spider-ManåÊ,2
Robin HoodåÊ,4
The Hobbit: The Desolation of SmaugåÊ,2
The Golden CompassåÊ,8
King KongåÊ,2
TitanicåÊ,9
Captain America: Civil WaråÊ,1
BattleshipåÊ,8
Jurassic WorldåÊ,9
SkyfallåÊ,5
Spider-Man 2åÊ,1
Iron Man 3åÊ,1
Alice in WonderlandåÊ,5
X-Men: The Last StandåÊ,2
Monsters UniversityåÊ,2
Transformers: Revenge of the FallenåÊ,1
Transformers: Age of ExtinctionåÊ,2
Oz the Great and PowerfulåÊ,2
The Amazing Spider-Man 2åÊ,2
TRON: LegacyåÊ,6
Cars 2åÊ,6
Green LanternåÊ,4
Toy Story 3åÊ,1
Terminator SalvationåÊ,4
Furious 7åÊ,5
World War ZåÊ,2
X-Men: Days of Future PaståÊ,2
Star Trek Into DarknessåÊ,2
Jack the Giant SlayeråÊ,8
The Great GatsbyåÊ,6
Prince of Persia: The Sands of TimeåÊ,8
Pacific RimåÊ,4
Transformers: Dark of the MoonåÊ,5
Indiana Jones and the Kingdom of the Crystal SkullåÊ,5
The Good DinosauråÊ,4
BraveåÊ,2
Star Trek BeyondåÊ,4
WALLåáEåÊ,2
Rush Hour 3åÊ,4
2012åÊ,6
A Christmas CarolåÊ,4
Jupiter AscendingåÊ,0
The Legend of TarzanåÊ,4
"The Chronicles of Narnia: The Lion, the Witch and the WardrobeåÊ",5
X-Men: ApocalypseåÊ,6
The Dark KnightåÊ,9
UpåÊ,5
Monsters vs. AliensåÊ,2
Iron ManåÊ,5
HugoåÊ,8
Wild Wild WeståÊ,4
The Mummy: Tomb of the Dragon EmperoråÊ,4
Suicide SquadåÊ,6
Evan AlmightyåÊ,4
Edge of TomorrowåÊ,4
WaterworldåÊ,8
G.I. Joe: The Rise of CobraåÊ,6
Inside OutåÊ,5
The Jungle BookåÊ,1
Iron Man 2åÊ,5
Snow White and the HuntsmanåÊ,6
MaleficentåÊ,2
Dawn of the Planet of the ApesåÊ,2
The LoversåÊ,3
47 RoninåÊ,0
Captain America: The Winter SoldieråÊ,2
Shrek Forever AfteråÊ,2
TomorrowlandåÊ,8
Big Hero 6åÊ,2
Wreck-It RalphåÊ,6
The Polar ExpressåÊ,7
Independence Day: ResurgenceåÊ,4
How to Train Your DragonåÊ,2
Terminator 3: Rise of the MachinesåÊ,6
Guardians of the GalaxyåÊ,5
InterstellaråÊ,6
InceptionåÊ,5
Godzilla ResurgenceåÊ,3
The Hobbit: An Unexpected JourneyåÊ,5
The Fast and the FuriousåÊ,6
The Curious Case of Benjamin ButtonåÊ,4
X-Men: First ClassåÊ,6
The Hunger Games: Mockingjay - Part 2åÊ,5
The Sorcerer's ApprenticeåÊ,8
PoseidonåÊ,0
Alice Through the Looking GlassåÊ,8
Shrek the ThirdåÊ,5
WarcraftåÊ,0
Terminator GenisysåÊ,8
The Chronicles of Narnia: The Voyage of the Dawn TreaderåÊ,4
Pearl HarboråÊ,2
TransformersåÊ,5
AlexanderåÊ,3
Harry Potter and the Order of the PhoenixåÊ,5
Harry Potter and the Goblet of FireåÊ,5
HancockåÊ,2
I Am LegendåÊ,2
Charlie and the Chocolate FactoryåÊ,2
RatatouilleåÊ,2
Batman BeginsåÊ,2
Madagascar: Escape 2 AfricaåÊ,6
Night at the Museum: Battle of the SmithsonianåÊ,6
X-Men Origins: WolverineåÊ,6
The Matrix RevolutionsåÊ,4
FrozenåÊ,1
